z,F_mean,F_std,F_count,CI_lower,CI_upper
9.97,62666.7374354,12585.847606002779,4,42639.845329102835,82693.62954169716
10.22,51382.76524403125,9147.811935158601,8,43735.00307910469,59030.527408957816
10.47,43313.3657446625,6639.351861085053,8,37762.72868273423,48864.00280659077
10.72,37566.44676308125,4436.523342954676,8,33857.420429072554,41275.47309708995
10.97,33030.7683439125,3127.9454457467505,8,30415.740509551848,35645.79617827316
11.22,29696.8424739625,3428.7980257896415,8,26830.29558835971,32563.38935956529
11.47,26847.47921186875,3740.6017040225247,8,23720.25792782217,29974.70049591533
11.72,23980.7641320875,3459.1961789024544,8,21088.803754503497,26872.724509671505
11.97,21423.6928835625,3104.5131405974075,8,18828.254946548706,24019.130820576294
12.22,19178.52997210625,2777.0223157158716,8,16856.881216335194,21500.178727877308
12.47,17228.1341690125,2468.2852650749855,8,15164.596046859475,19291.672291165527
12.72,15530.17163293625,2205.6703719085885,8,13686.185055801883,17374.158210070615
12.97,14036.551524222501,1971.454788673885,8,12388.374074844052,15684.72897360095
13.22,12735.064756645,1773.5409084346006,8,11252.34745182751,14217.78206146249
13.47,11582.4147578575,1592.3114532807124,8,10251.209069164213,12913.620446550785
13.72,10557.303152781875,1442.024322826236,8,9351.740649400224,11762.865656163525
13.97,9662.64672477875,1298.759591841456,8,8576.856533832028,10748.436915725471
14.22,8862.04404786625,1183.1687174348654,8,7872.890246272909,9851.19784945959
14.47,8143.551546721875,1072.6697366533497,8,7246.777204880642,9040.325888563108
14.72,7505.555333696875,984.5246165873314,8,6682.472156370396,8328.638511023353
14.97,6930.759769267501,898.8865417354539,8,6179.271814205283,7682.247724329719
15.22,6410.196271513125,823.588943088397,8,5721.658684268324,7098.733858757926
15.47,5945.048012714375,752.2922057610401,8,5316.115989519181,6573.980035909568
15.72,5524.8272444175,699.8898662372332,8,4939.704673406553,6109.9498154284465
15.97,5144.34222303,642.843253272849,8,4606.911813965391,5681.772632094609
16.22,4796.4983198850005,594.1059456237093,8,4299.813319678976,5293.183320091025
16.47,4481.45083293875,550.8531480208359,8,4020.926076447743,4941.975589429757
16.72,4190.32862573875,511.46024849410946,8,3762.7371574157432,4617.920094061757
16.97,3928.49797980625,475.1116708253007,8,3531.2946828858503,4325.70127672665
17.22,3681.66631282875,445.5528428652458,8,3309.174814501809,4054.157811155691
17.47,3464.315830200625,414.09989901924183,8,3118.119650975788,3810.512009425462
17.72,3257.7248968975,386.311349702148,8,2934.7605262834927,3580.6892675115073
