z,F_mean,F_std,F_count,CI_lower,CI_upper
9.97,72789.824492075,1180.7661018455879,4,70910.96213296331,74668.68685118669
10.22,59047.29380640625,928.3097064869373,8,58271.20747003123,59823.380142781265
10.47,48514.4061296875,754.2466217219005,8,47883.84017385946,49144.97208551554
10.72,40840.1252147875,665.9435767170532,8,40283.38245202712,41396.867977547874
10.97,36244.21599011875,991.8553422404958,8,35415.004172775494,37073.427807462
11.22,33666.9601221375,497.99313392071366,8,33250.627443351834,34083.29280092316
11.47,30243.04507123125,318.2507999262704,8,29976.980744167497,30509.109398295
11.72,27014.2507734125,284.2136183333979,8,26776.642242273698,27251.8593045513
11.97,24129.114803143748,253.43164322618608,8,23917.24064720366,24340.988959083836
12.22,21601.31384259375,226.8519163439405,8,21411.660894418423,21790.96679076908
12.47,19386.728138675,202.95144297261652,8,19217.056486274952,19556.399791075048
12.72,17445.29016110625,184.1310658554686,8,17291.352737729103,17599.2275844834
12.97,15756.428376126874,159.278861465703,8,15623.267915568185,15889.588836685563
13.22,14272.40115301375,144.46226330946598,8,14151.627678501056,14393.174627526445
13.47,12961.459080140625,132.71496914077812,8,12850.506589325492,13072.411570955757
13.72,11813.71509529125,114.43635098418514,8,11718.04391167351,11909.38627890899
13.97,10794.757231219999,108.22057325416556,8,10704.282567828755,10885.231894611243
14.22,9888.049052510625,87.71585405842279,8,9814.716763359165,9961.381341662085
14.47,9082.76949071625,87.82187370074412,8,9009.348566925706,9156.190414506793
14.72,8358.496617888126,83.54547725466188,8,8288.65085099569,8428.342384780562
14.97,7709.84851965125,77.10546936521992,8,7645.386734089848,7774.310305212653
15.22,7131.0261909775,66.92265194449809,8,7075.077453820956,7186.974928134044
15.47,6604.980160368125,61.623724442201826,8,6553.4614374657,6656.49888327055
15.72,6132.420942304375,54.773849933178056,8,6086.628857802032,6178.213026806718
15.97,5703.969820260625,48.024092293597036,8,5663.820674360902,5744.1189661603485
16.22,5310.677060865625,48.01877372104476,8,5270.532361403829,5350.8217603274215
16.47,4960.2302704831245,41.81302851822956,8,4925.273703845185,4995.186837121064
16.72,4632.6455085375,45.09802130955562,8,4594.9426191986095,4670.348397876391
16.97,4339.3202358106255,41.98822942723851,8,4304.217197547266,4374.423274073985
17.22,4067.793362166875,35.8090541957174,8,4037.856243675483,4097.730480658267
17.47,3818.3545329068747,31.776693546198924,8,3791.7885522820366,3844.920513531713
17.72,3591.6943928812498,32.05841691785411,8,3564.8928856235957,3618.495900138904
17.97,3381.03629997,31.663591477461523,8,3354.564875040906,3407.5077248990942
18.22,3185.96675433875,33.45489127279937,8,3157.9977653038422,3213.9357433736577
18.47,3005.956269146875,28.306266020558777,8,2982.2916385404715,3029.6208997532785
18.72,2840.1845849506253,23.982404791528673,8,2820.1347927939146,2860.234377107336
18.97,2686.331136183875,24.02703003600053,8,2666.2440363891533,2706.418235978597
19.22,2544.2758974899375,22.758700286767727,8,2525.2491479010996,2563.3026470787754
19.47,2409.55165178775,17.373310692935238,8,2395.027200570483,2424.076103005017
19.72,2291.831194257875,21.51190340756263,8,2273.846792945075,2309.8155955706748
19.97,2176.96444024,21.27728033850188,8,2159.1761887216317,2194.752691758368
20.22,2065.79259835775,19.152966300206433,8,2049.780317819509,2081.8048788959914
20.47,1966.6904969899374,18.545236565164004,8,1951.186291224888,1982.1947027549868
20.72,1867.8453489783126,16.83291188547914,8,1853.7726824701026,1881.9180154865226
20.97,1781.4579337353125,11.060350379721378,8,1772.2112494173102,1790.7046180533148
21.22,1701.0289706355,17.960271811262665,8,1686.013807643128,1716.0441336278718
21.47,1625.6865613675,17.407642032164503,8,1611.1334084323696,1640.2397143026303
21.72,1549.5030481974375,17.06330371881112,8,1535.2377692963894,1563.7683270984855
21.97,1482.23785085125,17.457276690565255,8,1467.6432023032587,1496.8324993992412
22.22,1417.17642336975,10.5038330595517,8,1408.394999174659,1425.957847564841
22.47,1356.4937525546875,12.66607529547216,8,1345.9046486127356,1367.0828564966394
22.72,1300.47375947375,16.9022768844719,8,1286.3431023751534,1314.6044165723467
22.97,1246.669709777625,11.08733364303711,8,1237.400466886957,1255.938952668293
23.22,1193.108411812,14.699649586680207,8,1180.8191972169097,1205.3976264070902
23.47,1145.3751882276874,14.524598456987341,8,1133.2323200393753,1157.5180564159996
23.72,1097.2774613556876,12.382906185198227,8,1086.925092714284,1107.6298299970913
23.97,1054.6965949949374,9.566162711979208,8,1046.6990828280088,1062.694107161866
24.22,1010.487868795375,10.908896856379656,8,1001.3678027915411,1019.6079347992089
24.47,971.2064868181875,8.97083776826341,8,963.7066787593733,978.7062948770017
24.72,937.8170850933125,10.362861034367828,8,929.1535164606397,946.4806537259852
24.97,897.7435278146249,8.898211212102671,8,890.304437076227,905.1826185530228
25.22,864.2694854018125,10.040245438564499,8,855.8756301568753,872.6633406467497
25.47,829.2992501543125,11.134305589376485,8,819.9907377337752,838.6077625748499
25.72,802.729307248375,8.402104878413127,8,795.7049717842946,809.7536427124554
25.97,771.461971673875,6.758127838410064,8,765.812035409916,777.1119079378341
26.22,745.9972718169375,8.737274605821725,8,738.6927274484466,753.3018161854285
26.47,716.4100915324375,8.879060713268872,8,708.9870110117242,723.8331720531507
26.72,692.844761094875,10.708045593233303,8,683.8926109491672,701.7969112405829
26.97,665.7042602093125,8.290265189484034,8,658.7734250650453,672.6350953535796
27.22,642.094704074,6.481760139211959,8,636.6758169886333,647.5135911593667
27.47,620.7801284206876,6.566770305346107,8,615.2901710578815,626.2700857834936
27.72,599.14678776225,5.96645020454826,8,594.1587105633859,604.1348649611142
27.97,580.23755127875,8.458775162270616,8,573.16583827173,587.3092642857699
28.22,557.8713324117937,11.478437255035502,8,548.2751187189701,567.4675461046172
28.47,540.3313837261875,6.019560887721731,8,535.2989048850282,545.3638625673468
28.72,522.42240429225,8.551555926100784,8,515.2731246255432,529.5716839589568
28.97,503.8812451926125,6.84928061288557,8,498.1551033021274,509.6073870830976
29.22,488.7540716829375,8.111761709424737,8,481.9724691825836,495.53567418329135
29.47,476.76947738746253,5.403324763313248,8,472.25218483897277,481.2867699359523
29.72,454.70926057925,6.16465276907045,8,449.55548188972455,459.8630392687754
29.97,440.22637924535627,8.024522208908701,8,433.5177107926263,446.93504769808624
30.22,428.49035347175624,5.4871711543129855,8,423.9029635861875,433.07774335732495
30.47,412.795438633725,7.192958815257445,8,406.7819745757489,418.80890269170106
30.72,399.5562385083125,5.394126876069416,8,395.04663558599333,404.0658414306317
30.97,381.9985674055125,3.8942492832676803,8,378.7428935306592,385.2542412803658
31.22,376.98360587466874,4.785021593181466,8,372.9832277123191,380.9839840370184
31.47,361.81110434616875,7.644322155736592,8,355.42029109229543,368.20191760004207
31.72,346.3887407733625,5.411227648578909,8,341.86484124744936,350.9126402992756
31.97,337.5280145168375,8.013411701088978,8,330.8286346810948,344.22739435258023
32.22,324.83938828053124,5.206724030649348,8,320.4864580577562,329.1923185033063
32.47,317.2514321724625,5.197686058601472,8,312.9060578834086,321.5968064615164
32.72,308.63494225284376,8.5440171132477,8,301.4919651914064,315.7779193142811
32.97,295.9436901644625,5.637241135001652,8,291.2308386353295,300.6565416935955
33.22,286.5149015754438,3.5961334515317254,8,283.5084587729908,289.52134437789675
33.47,277.8509654234688,6.331507519165496,8,272.5576926719906,283.14423817494696
33.72,265.18306115732497,5.747316943838368,8,260.37818394903917,269.9879383656108
33.97,258.9998489727625,5.873042549721678,8,254.08986252757367,263.90983541795134
34.22,250.9601788018625,6.6692283481078105,8,245.3845643717184,256.5357932320066
34.47,242.6908575066125,7.2307969103017555,8,236.64576000954477,248.73595500368023
34.72,234.802339734,7.918663940670124,8,228.18217100824498,241.422508459755
34.97,224.874942503975,5.8821009650585365,8,219.95738303404775,229.79250197390226
35.22,217.20910359901876,5.643994283806781,8,212.4906062961978,221.92760090183972
35.47,212.21538965040625,4.71535371491609,8,208.27325529185202,216.15752400896048
35.72,206.30925123558126,6.248472795329758,8,201.0853972504515,211.533105220711
