z,F_mean,F_std,F_count,CI_lower,CI_upper
19.76,31.450407320308265,2.7086159591089296,2,7.114458461881309,55.78635617873522
20.01,28.672234518302744,4.428972084165729,4,21.62475159557256,35.71971744103293
20.26,29.7274888278166,3.653661264150491,4,23.91369843238862,35.54127922324458
20.51,31.65398938185025,4.410892648915779,4,24.63527487507648,38.672703888624014
20.76,29.917114429277625,3.4517517413509986,4,24.42460714126712,35.409621717288125
21.01,29.34062770881799,3.7274349468160985,4,23.40944692147682,35.27180849615916
21.26,28.872874221968697,4.905153399505154,4,21.06768056541484,36.678067878522555
21.51,30.683386722413374,4.111277345579896,4,24.141427023193557,37.22534642163319
21.76,28.115566478686166,5.9049826836949055,4,18.719421316439963,37.51171164093237
22.01,27.75157214190455,4.685140755305086,4,20.296467698675855,35.206676585133245
22.26,29.58734480169135,2.7880723530072773,4,25.150899522344744,34.02379008103796
22.51,28.742688178313024,2.2131475300740946,4,25.221076588246376,32.26429976837967
22.76,28.54785483915317,4.084792125046428,4,22.048039036049044,35.0476706422573
23.01,30.051387649183713,3.852826189297651,4,23.920681413667335,36.182093884700095
23.26,30.294873534652886,3.8976008081262368,4,24.092920889005736,36.49682618030003
23.51,30.59012848747258,5.18110303381728,4,22.345837383838138,38.83441959110702
23.76,31.9992378508645,1.7663102726743456,4,29.188644050235446,34.80983165149355
24.01,33.99150382969668,3.3419782505747873,4,28.673670661755637,39.30933699763773
24.26,34.07280129035801,1.7425548088867306,4,31.300007733709556,36.84559484700646
24.51,31.844083148926146,3.8996567529935136,4,25.63885903620563,38.04930726164666
24.76,33.55911590980469,4.198197919916182,4,26.878846180260023,40.23938563934935
25.01,32.694008874449246,4.0347539554459635,4,26.27381496532921,39.11420278356928
25.26,32.66603419245605,3.1040333821371653,4,27.726824408225333,37.60524397668677
25.51,30.954767522381903,2.856054590891985,4,26.410147332144724,35.49938771261908
25.76,33.533174388287385,3.319516669593528,4,28.251082608048662,38.81526616852611
26.01,33.94716347421668,4.0170970914439295,4,27.555065575899732,40.33926137253363
26.26,34.54400232853862,2.2427306738104362,4,30.975317355230764,38.11268730184647
26.51,34.7888643432851,1.8639421773305431,4,31.82291639553055,37.75481229103964
26.76,33.02776255711068,2.8567945360167966,4,28.481964949059215,37.573560165162135
27.01,34.53997310878545,2.691501702432101,4,30.25719328449978,38.82275293307112
27.26,34.66488374501266,4.552879242871243,4,27.42023688257216,41.909530607453156
27.51,34.83660026888005,1.3733172352942762,4,32.65134608815731,37.021854449602785
27.76,34.96080600058609,2.0084450151530637,4,31.76492179166586,38.15669020950632
28.01,37.08858637300567,3.191893876196935,4,32.00957093642447,42.16760180958687
28.26,37.00502957408842,1.7135793567840798,4,34.27834242768398,39.731716720492855
28.51,35.964703893653486,2.5836137364344878,4,31.853597898754682,40.075809888552286
28.76,37.71369241466817,1.1319943600461326,4,35.91243678030245,39.51494804903388
29.01,37.43257838122721,0.91263722816874,4,35.98036889380197,38.884787868652445
29.26,37.50412377688099,1.080383294150131,4,35.78499286550152,39.223254688260454
29.51,37.54709868070638,0.4407231114154019,4,36.845809861917715,38.24838749949504
29.76,39.331405419785625,0.7275129711967513,4,38.17376993616988,40.48904090340137
30.01,38.76778924628971,2.5256349869541417,4,34.74894037992527,42.786638112654146
30.26,39.198441302839555,2.0939512185281814,4,35.86649764341431,42.5303849622648
30.51,39.23572984018886,2.1303001649018642,4,35.84594689571966,42.625512784658056
30.76,39.08124127908815,1.1479563231124785,4,37.25458659952964,40.907895958646655
31.01,40.07256180981544,2.545504225231336,4,36.02209655147897,44.12302706815191
31.26,38.39853140964614,0.7884062947260784,4,37.144001059789204,39.653061759503075
31.51,39.45116521588405,0.6354713721861257,4,38.439988455620224,40.46234197614788
31.76,38.70707959590595,0.1890305762711125,4,38.406289766386074,39.00786942542583
32.01,40.144124354534554,1.0686161114113415,4,38.443717656770424,41.844531052298684
32.26,38.82658218889659,1.5078493581205097,4,36.427257379558654,41.22590699823452
32.51,40.96070489398965,0.8988553509302875,4,39.53042544871311,42.39098433926619
32.76,40.10282903283202,1.0223410463840437,4,38.476056289929346,41.72960177573469
33.01,41.67246272599105,1.7020879423548967,4,38.96406098428294,44.38086446769917
33.26,39.352189724827824,0.4107547136515384,4,38.698587314408606,40.00579213524704
33.51,40.45768472994355,2.2200623640977457,4,36.92507009588179,43.99029936400531
33.76,40.64732599523725,2.0816388491461235,4,37.33497406303662,43.95967792743789
34.01,40.375536202901245,0.5825443472922462,4,39.44857815004902,41.302494255753466
34.26,39.89356413730957,1.569439885324799,4,37.39623505510074,42.3908932195184
34.51,39.40298061708957,1.5129146822916548,4,36.99559574665487,41.810365487524265
34.76,39.91605266689041,2.144047865250045,4,36.5043940633316,43.327711270449214
35.01,39.31304884565716,0.8599341842733412,4,37.94470166189299,40.68139602942132
35.26,39.41059919755389,1.231160706178972,4,37.451547777258675,41.36965061784911
