z,F_mean,F_std,F_count,CI_lower,CI_upper
9.97,84293.4995316,22737.115536524176,4,48113.67486558361,120473.32419761638
10.22,68718.98545023751,17291.151896864445,8,54263.220705381565,83174.75019509345
10.47,56525.8138150625,13782.012118075196,8,45003.763342197424,68047.86428792757
10.72,47259.372086362506,10488.277540113855,8,38490.95263096832,56027.79154175669
10.97,40531.238630975,7564.727394243517,8,34206.96826296201,46855.50899898799
11.22,35857.3316863,5568.1917521006935,8,31202.206885897824,40512.456486702176
11.47,32491.86048545625,4742.298198322724,8,28527.199975051568,36456.520995860934
11.72,29390.7099060875,4676.829065264372,8,25480.782960640558,33300.636851534444
11.97,26473.68971655,4466.167440126406,8,22739.880297102914,30207.499135997088
12.22,23756.91971195,4072.4815095838608,8,20352.23996698774,27161.599456912256
12.47,21336.819028493752,3663.661171442477,8,18273.921639405424,24399.71641758208
12.72,19195.47700956875,3284.0817952028747,8,16449.915920435884,21941.038098701614
12.97,17321.217205749374,2940.113196254476,8,14863.22106172103,19779.213349777718
13.22,15681.663575062501,2644.6817632340358,8,13470.654289946293,17892.67286017871
13.47,14236.574692444376,2371.3710506262273,8,12254.05888117382,16219.090503714931
13.72,12956.518867415,2137.9704712943876,8,11169.130823586358,14743.906911243641
13.97,11828.86432528,1931.1562739901935,8,10214.377277287718,13443.35137327228
14.22,10824.271673130625,1748.507247546181,8,9362.483032560836,12286.060313700413
14.47,9930.060607795,1593.2024840927436,8,8598.109998701038,11262.011216888961
14.72,9134.523698568126,1447.7151261129732,8,7924.203564577884,10344.843832558367
14.97,8420.135755506875,1325.4060240570975,8,7312.068589741089,9528.202921272661
15.22,7779.745422304375,1212.943716206942,8,6765.699098796081,8793.79174581267
15.47,7203.0655815725,1116.2379497636664,8,6269.8673020530205,8136.26386109198
15.72,6683.061565449375,1024.6742408953392,8,5826.412462205829,7539.710668692921
15.97,6211.42409985,943.0717129754887,8,5422.996417205321,6999.851782494678
16.22,5786.034056379375,870.8099077057481,8,5058.018754774932,6514.0493579838185
16.47,5398.469898075626,807.3925860788569,8,4723.4728041449835,6073.466992006268
16.72,5042.878885285625,750.3222948618377,8,4415.593748815912,5670.164021755339
16.97,4716.327487558125,694.9946781409392,8,4135.297396210992,5297.3575789052575
17.22,4418.2481674325,648.7324551821351,8,3875.894262360026,4960.602072504974
17.47,4150.186038478125,604.4643597516167,8,3644.8411873462646,4655.530889609985
17.72,3897.136483635625,562.5338220525854,8,3426.8464392753385,4367.426527995912
17.97,3669.12570212125,525.6695095978836,8,3229.654994234589,4108.596410007911
18.22,3461.35804978375,492.30454510225525,8,3049.781150264867,3872.9349493026334
18.47,3263.46290661125,463.6380679239971,8,2875.8517817628117,3651.0740314596887
18.72,3085.3155833983124,436.19740745297264,8,2720.6454248069876,3449.985741989637
18.97,2917.4920705374375,405.2350068684543,8,2578.70712661865,3256.277014456225
19.22,2759.10859498875,382.8375670218051,8,2439.0483793727044,3079.168810604796
19.47,2616.9685875920622,364.29929494913324,8,2312.4067552796337,2921.530419904491
19.72,2481.8108934103125,342.8875498863285,8,2195.1497279389905,2768.4720588816344
19.97,2359.4292377101874,326.5233674247726,8,2086.4488711420922,2632.4096042782826
20.22,2242.098355352625,304.51183751652604,8,1987.5200883049017,2496.6766224003477
20.47,2133.14460754475,290.4651608793431,8,1890.3096560450795,2375.979559044421
20.72,2030.7551537778127,276.2725777552732,8,1799.7854987018331,2261.724808853792
20.97,1937.463716147375,259.7624792655666,8,1720.296848826957,2154.630583467793
21.22,1845.2215288504376,249.74676813814588,8,1636.428005577543,2054.015052123332
21.47,1761.4844693630625,231.80779127960972,8,1567.6883060565356,1955.2806326695895
21.72,1684.3988070259375,221.20405222712753,8,1499.4675914147874,1869.3300226370875
21.97,1610.1594497148126,209.9081710260424,8,1434.6718271160134,1785.6470723136117
22.22,1539.664456935375,204.56066845934544,8,1368.6474583608033,1710.6814555099468
22.47,1473.545614371375,193.22128997199044,8,1312.0085734505099,1635.0826552922401
